,basin,nse,bias,stdev,obs5,sim5,obs95,sim95,obs0,sim0,obsL,simL,obsH,simH,obsFDC,simFDC
64,03592718,0.6579580324365177,0.10257868682580384,0.6172150588489892,0.15304163098335266,0.33760298644007897,4.744290351867676,3.2521429547625895,0,0,197,0,178,59,-2.7210350117147595,-1.5660415788313065
65,05466500,0.5407130280496599,0.19972748538749022,0.9978260054994781,0.05309168994426727,0.062067432901855596,3.291684627532959,2.551687759117096,0,0,705,195,243,274,-3.7915929292666792,-3.2332317017901957
66,05591550,0.7532777032680569,-0.025468132455395767,0.9432924380319583,0.0,0.043347129275525,4.151586055755615,4.0169476043890775,760,0,1857,624,515,390,-7.444653876715676,-3.7693341611663915
67,05592050,0.7539573833594263,-0.01174147659284802,0.8699863079611966,0.002639187267050147,0.03727505011597459,3.330451369285578,3.342836829535667,5,0,1732,545,540,406,-6.752960972243405,-3.5198738608549447
68,05057200,0.47052927187573623,0.3014979112991536,0.39853894401899403,0.004577078390866518,0.015198830284462603,0.5492494106292725,0.358872918445314,0,0,367,45,579,248,-3.9676766418141183,-2.528471870459445
69,06291500,0.5841340299661768,-0.1405826938978399,0.9421254124166938,0.1108392607420683,0.158276189806064,2.088556039333337,2.1154564506599356,0,0,11,0,255,200,-1.2875247604065387,-1.903706704377636
70,06332515,0.2342455951965623,-1.2739481505342005,0.8924641922695284,0.0003831211070064455,0.009815717151233569,0.08058313727378776,0.34633755643375247,177,0,311,22,549,348,-1.757025656373484,-3.0408515820600095
71,06339100,0.23052323712531464,-0.5077420330574184,0.6664029088223797,0.0002765947428997606,0.007063259243765382,0.1613469421863556,0.3486132729226811,118,1,787,104,565,404,-3.079921662602504,-2.650704934551982
72,06406000,0.3564136565354874,0.09083559377180986,1.0970013140853974,0.008947049267590046,0.030215088105569277,0.313146710395813,0.32874040299038293,0,0,921,0,84,158,-3.876352113647727,-1.6622016562816997
73,06409000,-2.5296464060324384,-0.5425383615473391,2.0672211447403734,0.07269477099180222,0.15221203741993555,0.4290183484554291,0.7884679663910017,0,0,0,0,2,17,-1.8116274089741098,-1.097799156177699
