,basin,nse,bias,stdev,obs5,sim5,obs95,sim95,obs0,sim0,obsL,simL,obsH,simH,obsFDC,simFDC
249,03592718,0.7374955012042945,0.014730024672975984,0.8017909829687349,0.15304163098335266,0.35585556614659936,4.744290351867676,3.566076846612155,0,0,197,0,178,77,-2.7210350117147595,-1.6428415371747038
250,03604000,0.8605611175477491,0.19709345683662316,0.8203133090593995,0.37209317088127136,0.19771425141481658,4.2917561531066895,3.786898849853473,0,0,4,68,87,112,-2.006471228606796,-2.7288730201053992
251,05291000,0.5082838555628277,0.2343855120627441,0.49003537360778954,0.009972699917852879,0.014535002986733391,0.8146745979785907,0.6978239457122785,0,0,333,87,457,408,-2.8167756822392893,-3.0164131174838085
252,05362000,0.8266631072127533,-0.18137930971503266,1.005799917516945,0.06890858709812164,0.10553108383143674,3.299408793449393,3.6148756957985855,0,0,84,20,392,341,-2.8868436001777584,-3.3618419620799225
253,05393500,0.804409398035213,-0.036563378189896655,0.8752813432098776,0.07527828961610794,0.11873957897797582,4.066185808181756,3.686611303317663,0,0,227,28,387,291,-2.6529357626875436,-3.017882814654578
254,05399500,0.6140048588332865,-0.07015273098557082,0.690768553070134,0.018985019996762276,0.03812577526635754,2.666762256622312,2.9053171207092223,0,0,387,350,668,456,-3.5128390439815234,-3.728470929808985
255,05408000,0.6355465186709411,-0.12528494404403945,1.2212325560073745,0.3552752137184143,0.3850203384228552,1.2932018041610718,1.605970545319099,0,0,0,0,21,28,-0.7718223922682073,-0.9276135650531325
256,05413500,0.7090798124798454,0.10440488440432147,0.9528485301923052,0.3091554641723633,0.33003691598151547,1.6662777662277164,1.3813364357678175,0,0,0,0,25,32,-1.1339774078144718,-0.9864322858786766
257,05414000,0.6709733984880462,0.09826549527474189,0.9025686535164069,0.29948198795318604,0.32812097457900735,1.8634434938430786,1.4973006903373487,0,0,0,0,29,32,-1.3737004831615052,-1.1119627587262157
258,05444000,0.6194897395813981,0.012234733880064472,0.9059404998311293,0.1747661978006363,0.2651581655306448,2.0195205211639404,2.049237585404445,0,0,0,0,62,53,-1.849865132412087,-1.603770805477094
259,05454000,0.6768525650420029,0.03761757846370114,0.9301587976975279,0.008591200225055218,0.11552026839230621,2.652066230773926,2.5103959935705196,50,0,1251,3,215,213,-4.277612618150679,-2.3809119945938138
260,05458000,0.7661092723903892,0.035780497788480733,0.7889810434578269,0.08338518440723419,0.1302475790948483,2.4246557712554915,2.2889214213514624,0,0,60,0,272,202,-3.0118222259972085,-2.2156659310739975
261,05466500,0.7302753587596155,0.2079474910672462,0.7928169911542768,0.05309168994426727,0.06918665578480651,3.291684627532959,2.552799689278439,0,0,705,200,243,229,-3.7915929292666792,-3.11815338068796
262,05487980,0.7323889486579376,0.08453383768102538,0.7495644909976984,0.007662422023713589,0.03621018361114957,3.292003631591797,2.788669755909406,0,0,1089,248,712,493,-5.463058408003828,-3.534196115539789
263,05488200,0.6957057424191959,0.2159518045690952,0.7625054374347914,0.003671045647934079,0.025032115541069166,3.254644346237165,2.3439431338884265,5,0,1492,387,697,468,-6.462684876774894,-3.7138042823265938
264,05489000,0.7270581928320429,0.08052867690086525,0.744738259612672,0.007075106259435415,0.0331174557732558,3.0347152471542223,2.922144234223892,0,0,1240,332,642,487,-5.54613862661597,-3.71239263843519
265,05495000,0.8071722700429724,0.029609683468717028,0.822324720023996,0.007560256402939558,0.03631200728920753,4.18412957191466,3.5162856648336964,0,0,1114,364,715,539,-5.178993144994166,-3.9904515419399664
266,05495500,0.6989632396002168,0.12504477540509934,0.6459679688285381,0.0018115370767191061,0.043284075796828206,3.2250233888625948,2.640434330513318,0,0,1378,129,741,458,-5.857085112834985,-3.420286559054389
267,05501000,0.7795234633655386,-0.059766927072739166,0.8187749476598258,0.006406996864825487,0.038869328644336336,3.470456600189209,3.446259953391782,0,0,1264,295,690,553,-5.463058665446264,-3.985371475272679
268,05503800,0.6789397559487218,-0.10381497529966013,0.8634312540764677,0.0,0.008245486461786924,3.545051503181451,3.8213354305438547,622,4,1667,1175,1059,816,-7.942542086719951,-5.5682554883318645
269,05507600,0.6830169280331118,0.23496347813603072,0.5875458293862985,0.0,0.013499682579966369,2.9813943624496413,2.7323412311591606,559,1,1716,440,933,717,-6.977530584830442,-4.68986358655201
270,05508805,0.8061237035719184,-0.18941139834462192,0.8932407851380334,0.002018515020608902,0.047797803305015006,2.825921058654785,3.5309038616356774,42,0,1390,138,662,473,-5.578082014481237,-3.688819287961501
271,05525500,0.8033878368511913,-0.00021273489575470995,0.8480425048295954,0.02330796606838703,0.09303276563269947,4.089488506317139,3.5853590314405865,0,0,1158,173,413,259,-4.222771331623744,-2.771088741550772
272,05556500,0.7320892382912827,0.03740777406457519,0.7489820968778671,0.017357731238007545,0.1295178880424087,2.7970055103301976,2.514293493778819,0,0,1322,31,178,130,-4.770747111970677,-2.3144888452662666
273,05584500,0.7380744955962388,0.17010693670861116,0.7171434901533325,0.01587076671421528,0.06332352562332294,3.448284864425659,2.579801667043567,0,0,1135,137,463,314,-4.5066450341470565,-3.17219003628266
274,05591550,0.7478706250317011,0.013817176298047807,0.7929414008125141,0.0,0.06086379500104591,4.151586055755615,3.6028611912939037,760,0,1857,539,515,273,-7.444653876715676,-3.412192852387455
275,05592050,0.769633130581013,-0.06875834379684438,0.8911422088151097,0.002639187267050147,0.03675133880293598,3.330451369285578,3.5590357779804114,5,0,1732,629,540,436,-6.752960972243405,-3.8380965731378702
276,05592575,0.6742181107809232,-0.16942050931292313,0.8355645364939069,0.0,0.022715183447923625,3.701019239425648,4.0869956164374015,981,1,1656,1017,869,585,-6.716698393004336,-4.514166456937723
277,05593575,0.7914278454864614,0.08545757022240366,0.7896149537316958,0.0034752069041132927,0.023034362970847384,4.887710094451904,3.244387986537131,16,0,1193,560,891,657,-5.344207897295565,-4.376262669867058
278,05593900,0.7435127506357287,0.046891816727547504,0.7718866322167238,0.0,0.03390062848049202,4.05256986618042,3.4569069187328783,285,0,1578,391,684,570,-5.8966973266700125,-3.964452236949356
279,05595730,0.7655934896348029,0.05814286163581299,0.6799847635519057,0.0,0.03415783170938366,4.3074131488799985,3.4955144626373715,720,0,1868,383,967,576,-8.469883368231228,-4.041803579503319
280,07291000,0.5755369397520552,-0.10084223391533326,0.835039596961535,0.20362569391727448,0.11531010122111007,3.7148636817931986,5.083746222834856,0,0,0,47,297,374,-2.1278695190377896,-3.0919958891632224
281,07359610,0.7339320363895786,-0.06169179387057774,1.025678401879974,0.2154117226600647,0.10502967332795025,5.671581983566277,7.051465170867044,0,0,35,701,220,321,-2.8296482168508374,-3.4323875845478966
282,07362100,0.6446787092710062,-0.20027470633532637,0.8316589216517989,0.0049092574045062065,0.11493606584111161,4.666249132156358,4.725677408943202,64,0,1363,127,816,291,-6.05878430125279,-3.184819232081042
283,07362587,0.737758449466316,-0.07423332466131245,0.7254374748433975,0.0,0.1356522371641849,5.883699560165386,6.118794056656575,709,0,1613,290,895,270,-6.977530584830442,-3.3561232606835425
284,07375000,0.4231008321479991,0.03399346329009867,1.0398033240037476,0.3265555799007416,0.1087588044120153,4.483707094192499,4.448454676334091,0,0,0,219,219,279,-1.305402653184195,-2.947526173397414
285,08013000,0.6528705092606475,-0.21582748795198378,1.050543739641519,0.04545244202017784,0.11310252042532905,5.986465787887563,6.389573326248809,0,0,463,267,893,363,-5.0152982624532525,-3.755525282909032
286,08014500,0.5108121773708922,-0.3204047802206156,1.2833425922111068,0.22050748765468597,0.13418925098429044,4.24337911605835,5.909498471267947,0,0,0,282,204,264,-2.2431763063867645,-3.3903288765696575
287,05057200,0.36815724891616153,0.4874888826634456,0.33532971588760463,0.004577078390866518,0.005898209452391153,0.5492494106292725,0.30653838385107135,0,0,367,176,579,381,-3.9676766418141183,-2.9392159387372176
288,05120500,0.273038944638307,0.4243077241282948,0.3794141967092075,9.947705984814093e-05,0.012585556243078876,0.43106725811958313,0.16141687091221973,169,0,1102,1,850,151,-4.453563708453751,-1.7917639404497827
289,06221400,0.9272280480229819,-0.06905534658213269,0.9743954997820069,0.054644711315631866,0.18056854644578502,5.560903072357178,5.7585355953191755,0,0,411,1,1173,617,-6.644758298329946,-5.030357055818642
290,06224000,0.8599352885437198,-0.1634570753847163,1.0794033255237145,0.0758047103881836,0.1577349223929777,5.660085201263428,6.457054927367411,0,0,203,2,754,713,-4.951582303604422,-4.612917069460973
291,06278300,0.7906249295463444,-0.321656444109491,1.1238237138829772,0.08182095736265182,0.1861813624657456,6.59067802429197,9.313574888015804,0,0,1,4,688,721,-2.4395911749774237,-2.74103668280227
292,06280300,0.6848163528759668,-0.3135317420375527,1.2574948561267656,0.20364327728748322,0.2458884431210934,5.345635890960693,7.183079175219478,0,0,0,0,453,651,-2.4228108689362386,-3.02787888088748
293,06289000,0.7367327301810349,-0.10060229230776083,1.0834296444578848,0.24404674768447876,0.2770115956342757,2.591568684577939,3.0753302202707546,0,0,0,0,149,169,-1.1831127811035647,-1.3501097410502407
294,06291500,0.6961449286993924,-0.14755497955429153,1.0931125672598458,0.1108392607420683,0.169840979994325,2.088556039333337,2.5257757661343234,0,0,11,0,255,354,-1.2875247604065387,-1.3256746160775128
295,06311000,0.6061889108342702,-0.2756744509371991,1.1324663571726696,0.054001834243535995,0.09513257834635419,3.0086734294891357,3.662113863982864,0,0,2,2,660,773,-2.4563281894620568,-2.660325236060307
296,06332515,-0.0925847621725937,-1.211679408021632,1.3614258959311878,0.0003831211070064455,0.004381941855082496,0.08058313727378776,0.3464523376069107,177,4,311,90,549,582,-1.757025656373484,-3.0467997604440673
297,06339100,0.32174038674951266,-0.17458975129092807,0.6029097365198685,0.0002765947428997606,0.0068076932879956925,0.1613469421863556,0.2360956787035462,118,0,787,52,565,356,-3.079921662602504,-2.376048885170909
298,06344600,0.23651705415345214,-0.038666087133676225,0.5692822065385771,0.0,0.005182963490478426,0.15543290972709656,0.23714449769294957,558,0,1063,112,620,383,-3.5770977640198565,-2.455349248945426
299,06350000,0.4262589653691501,-0.11431187273198469,0.4443721128453764,0.0015316036297008395,0.00662304444825169,0.12220241874456406,0.2066669020778505,0,0,285,96,417,307,-1.8758763891097687,-2.4028338903906103
300,06352000,0.42887621828027633,0.0221669656709778,0.37960851935508366,0.000666478299535811,0.008601379809100817,0.15380269289016724,0.18119043329932968,0,0,657,76,536,216,-2.9556957919472993,-2.193461484186906
301,06404000,0.7028323412098691,0.042468270776889604,0.9181378348898557,0.00016126826812978834,0.027020859506886322,0.5483121275901794,0.5094437543715857,271,0,1148,0,343,299,-4.149961484201441,-2.0371738163192186
302,06406000,0.45004726068410517,0.3086973357285099,0.8937012865836882,0.008947049267590046,0.023570931421316416,0.313146710395813,0.23954489638861406,0,0,921,0,84,169,-3.876352113647727,-1.466256322173883
303,06409000,0.311264925449799,0.19619618639487035,0.4443686009801786,0.07269477099180222,0.11162901694614505,0.4290183484554291,0.2565099291390718,0,0,0,0,2,0,-1.8116274089741098,-0.6564181945269282
304,06431500,0.0641679202300176,0.297113650798135,0.8533447266375372,0.23482614755630493,0.1912070288807462,0.6872960329055786,0.5931667038130551,0,0,0,0,3,3,-1.0427154527107076,-0.6549247365736524
